,County,Year,Population,Index Count,Index Rate,Violent Count,Violent Rate,Property Count,Property Rate
0,Alachua County,2020.0,271588.0,8714.0,31.166857929768188,1675.0,162.14208955223882,7039.0,38.58332149453047
1,Baker County,2020.0,28532.0,406.0,70.27586206896552,129.0,221.1782945736434,277.0,103.00361010830323
2,Bay County,2020.0,174410.0,5446.0,32.02533969886155,776.0,224.7551546391753,4670.0,37.34689507494647
3,Bradford County,2020.0,28725.0,371.0,77.42587601078166,85.0,337.94117647058823,286.0,100.43706293706292
4,Brevard County,2020.0,606671.0,12950.0,46.84718146718146,1990.0,304.8597989949749,10960.0,55.35319343065694
5,Broward County,2020.0,1932212.0,47045.0,41.071569773621,5319.0,363.26602744876857,41726.0,46.30714662320855
6,Calhoun County,2020.0,14489.0,159.0,91.125786163522,34.0,426.1470588235294,125.0,115.912
7,Charlotte County,2020.0,187904.0,1943.0,96.70818322182193,271.0,693.3726937269373,1672.0,112.38277511961722
8,Citrus County,2020.0,149383.0,2333.0,64.03043291898842,367.0,407.0381471389646,1966.0,75.98321464903357
9,Clay County,2020.0,219575.0,3322.0,66.09723058398555,488.0,449.94877049180326,2834.0,77.4788285109386
10,Collier County,2020.0,387450.0,4682.0,82.75309696710808,754.0,513.8594164456233,3928.0,98.63798370672096
11,Columbia County,2020.0,70617.0,1849.0,38.19199567333694,321.0,219.99065420560748,1528.0,46.215314136125656
12,Miami-Dade County,2020.0,2832794.0,81006.0,34.97017504876182,10715.0,264.3764815678955,70291.0,40.30094891237854
13,DeSoto County,2020.0,37082.0,736.0,50.38315217391305,173.0,214.34682080924856,563.0,65.86500888099467
14,Dixie County,2020.0,16663.0,262.0,63.599236641221374,88.0,189.35227272727272,174.0,95.76436781609196
15,Duval County,2020.0,982080.0,34452.0,28.50574712643678,5694.0,172.47629083245522,28758.0,34.14980179428333
16,Escambia County,2020.0,323714.0,10298.0,31.43464750436978,1563.0,207.1106845809341,8735.0,37.05941614195764
19,Gadsden County,2020.0,46226.0,498.0,92.82329317269075,112.0,412.7321428571428,386.0,119.75647668393782
23,Hamilton County,2020.0,14570.0,324.0,44.96913580246913,58.0,251.20689655172413,266.0,54.77443609022557
24,Hardee County,2020.0,27443.0,574.0,47.81010452961672,86.0,319.1046511627907,488.0,56.23565573770492
25,Hendry County,2020.0,40953.0,869.0,47.12658227848101,127.0,322.46456692913387,742.0,55.192722371967655
26,Hernando County,2020.0,192186.0,2785.0,69.00754039497308,434.0,442.82488479262673,2351.0,81.74649085495534
27,Highlands County,2020.0,104834.0,2185.0,47.97894736842105,257.0,407.9143968871595,1928.0,54.37448132780083
28,Hillsborough County,2020.0,1478759.0,20705.0,71.42038155035016,3645.0,405.6951989026063,17060.0,86.67989449003517
30,Indian River County,2020.0,158834.0,2099.0,75.67127203430205,191.0,831.5916230366493,1908.0,83.24633123689728
31,Jackson County,2020.0,46587.0,374.0,124.56417112299464,113.0,412.27433628318585,261.0,178.49425287356323
34,Lake County,2020.0,366742.0,6341.0,57.83661882983756,843.0,435.04389086595495,5498.0,66.70461986176791
35,Lee County,2020.0,750493.0,10218.0,73.44813074965747,1796.0,417.86915367483294,8422.0,89.11101876038946
36,Leon County,2020.0,299484.0,9163.0,32.68405544035796,1537.0,194.8497072218608,7626.0,39.27143981117231
37,Levy County,2020.0,41699.0,1095.0,38.08127853881278,459.0,90.8474945533769,636.0,65.56446540880503
39,Madison County,2020.0,18954.0,294.0,64.46938775510205,125.0,151.632,169.0,112.15384615384616
40,Manatee County,2020.0,403120.0,8064.0,49.99007936507937,1637.0,246.25534514355527,6427.0,62.72288781702194
41,Marion County,2020.0,368135.0,7569.0,48.63720438631259,1421.0,259.06755805770587,6148.0,59.8788223812622
42,Martin County,2020.0,161301.0,2132.0,75.65712945590994,311.0,518.652733118971,1821.0,88.57825370675452
43,Monroe County,2020.0,77823.0,1277.0,60.94205168363352,264.0,294.78409090909093,1013.0,76.82428430404738
44,Nassau County,2020.0,89258.0,1192.0,74.88087248322148,160.0,557.8625,1032.0,86.49031007751938
45,Okaloosa County,2020.0,203951.0,3723.0,54.78135911899006,617.0,330.55267423014584,3106.0,65.66355441081777
46,Okeechobee County,2020.0,42112.0,1245.0,33.82489959839357,181.0,232.66298342541435,1064.0,39.578947368421055
47,Orange County,2020.0,1415260.0,39690.0,35.657848324514994,6404.0,220.99625234228608,33286.0,42.518175809649705
48,Osecola County,2020.0,387055.0,7433.0,52.07251446253195,1003.0,385.8973080757727,6430.0,60.19517884914463
49,Palm Beach County,2020.0,1466494.0,33720.0,43.49033214709371,4466.0,328.36856247201075,29254.0,50.12969166609695
50,Pasco County,2020.0,542638.0,8620.0,62.95104408352668,1458.0,372.1796982167352,7162.0,75.76626640603183
51,Pinellas County,2020.0,984054.0,22163.0,44.40075802012363,3097.0,317.74426864707783,19066.0,51.6130284275674
52,Polk County,2020.0,715090.0,12117.0,59.015432862919866,1906.0,375.1783840503672,10211.0,70.03133875232592
53,Putnam County,2020.0,73723.0,1498.0,49.21428571428572,121.0,609.2809917355372,1377.0,53.538852578068266
54,St. Johns County,2020.0,261898.0,2566.0,102.0646921278254,345.0,759.1246376811595,2221.0,117.918955425484
55,St. Lucie County,2020.0,322265.0,4497.0,71.66221925728263,692.0,465.7008670520231,3805.0,84.69513797634691
56,Santa Rosa County,2020.0,184653.0,1730.0,106.735838150289,221.0,835.5339366515838,1509.0,122.36779324055668
57,Sarasota County,2020.0,434199.0,7621.0,56.97401915759087,844.0,514.4537914691944,6777.0,64.06949977866313
58,Seminole County,2020.0,476727.0,7397.0,64.44869541706097,1178.0,404.6918505942275,6219.0,76.6565364206464
59,Sumter County,2020.0,141422.0,1246.0,113.5008025682183,259.0,546.030888030888,987.0,143.28470111448834
60,Suwannee County,2020.0,45463.0,913.0,49.795180722891565,197.0,230.7766497461929,716.0,63.49581005586592
61,Taylor County,2020.0,22436.0,689.0,32.56313497822932,129.0,173.92248062015503,560.0,40.06428571428572
62,Union County,2020.0,15410.0,134.0,115.0,35.0,440.2857142857143,99.0,155.65656565656565
63,Volusia County,2020.0,551528.0,10956.0,50.34027017159547,1764.0,312.6575963718821,9192.0,60.000870322019146
64,Wakulla County,2020.0,33981.0,503.0,67.55666003976143,78.0,435.6538461538461,425.0,79.95529411764706
65,Walton County,2020.0,74724.0,984.0,75.9390243902439,113.0,661.2743362831858,871.0,85.7910447761194
66,Washington County,2020.0,25334.0,291.0,87.05841924398625,42.0,603.1904761904761,249.0,101.7429718875502
67,Alachua County,2019.0,267306.0,9010.0,29.6677025527192,1472.0,181.59375,7538.0,35.46113027328204
69,Bay County,2019.0,167283.0,6533.0,25.605847237103934,723.0,231.3734439834025,5810.0,28.792254733218588
70,Bradford County,2019.0,28682.0,555.0,51.67927927927928,106.0,270.58490566037733,449.0,63.87973273942094
71,Brevard County,2019.0,594469.0,14493.0,41.017663699717104,1892.0,314.20137420718817,12601.0,47.17633521149115
72,Broward County,2019.0,1919644.0,57348.0,33.47359977680129,5197.0,369.3754088897441,52151.0,36.80934210274012
74,Charlotte County,2019.0,181770.0,2481.0,73.26481257557437,347.0,523.8328530259366,2134.0,85.17806935332709
75,Citrus County,2019.0,147744.0,2428.0,60.8500823723229,333.0,443.6756756756757,2095.0,70.52219570405728
76,Clay County,2019.0,215246.0,3809.0,56.50984510370176,486.0,442.8930041152264,3323.0,64.77460126391814
77,Collier County,2019.0,376706.0,5204.0,72.38777863182167,749.0,502.94526034712953,4455.0,84.55802469135803
78,Columbia County,2019.0,70492.0,2032.0,34.69094488188976,308.0,228.87012987012983,1724.0,40.88863109048724
79,Miami-Dade County,2019.0,2812130.0,99161.0,28.359233973033756,9688.0,290.2694054500413,89473.0,31.4299285818068
80,DeSoto County,2019.0,36065.0,777.0,46.41570141570141,146.0,247.0205479452055,631.0,57.15530903328051
81,Dixie County,2019.0,16610.0,238.0,69.78991596638656,87.0,190.91954022988503,151.0,110.0
82,Duval County,2019.0,970672.0,37710.0,25.740440201538053,4756.0,204.094196804037,32954.0,29.45536201978516
83,Escambia County,2019.0,321134.0,10979.0,29.249840604790965,1440.0,223.00972222222225,9539.0,33.6653737289024
84,Flagler County,2019.0,110695.0,1379.0,80.27193618564176,197.0,561.9035532994924,1182.0,93.65059221658208
86,Gadsden County,2019.0,46277.0,942.0,49.12632696390658,148.0,312.68243243243245,794.0,58.28337531486146
89,Gulf County,2019.0,13082.0,232.0,56.38793103448276,35.0,373.7714285714285,197.0,66.40609137055837
90,Hamilton County,2019.0,14600.0,312.0,46.7948717948718,51.0,286.27450980392155,261.0,55.93869731800766
91,Hardee County,2019.0,27385.0,560.0,48.90178571428572,65.0,421.3076923076923,495.0,55.323232323232325
92,Hendry County,2019.0,40120.0,993.0,40.40281973816717,136.0,295.0,857.0,46.8144690781797
93,Hernando County,2019.0,188358.0,3107.0,60.62375281622143,464.0,405.9439655172414,2643.0,71.26674233825199
94,Highlands County,2019.0,103434.0,2621.0,39.463563525372,222.0,465.9189189189189,2399.0,43.115464776990414
95,Hillsborough County,2019.0,1444870.0,23601.0,61.2207109868226,3047.0,474.1942894650476,20554.0,70.29629269241997
96,Holmes County,2019.0,20049.0,241.0,83.19087136929461,72.0,278.4583333333333,169.0,118.63313609467455
97,Indian River County,2019.0,154939.0,2447.0,63.31794033510421,321.0,482.6760124610592,2126.0,72.87817497648166
99,Jefferson County,2019.0,14776.0,296.0,49.91891891891892,72.0,205.22222222222223,224.0,65.96428571428571
101,Lake County,2019.0,357247.0,7478.0,47.77306766515111,878.0,406.8872437357631,6600.0,54.12833333333333
102,Lee County,2019.0,735148.0,10869.0,67.6371331309228,1593.0,461.4865034526051,9276.0,79.25269512721
103,Leon County,2019.0,296499.0,11402.0,26.00412208384494,1414.0,209.6881188118812,9988.0,29.685522627152583
104,Levy County,2019.0,41330.0,1164.0,35.50687285223368,475.0,87.01052631578948,689.0,59.9854862119013
107,Manatee County,2019.0,392004.0,8422.0,46.54523866065068,1581.0,247.94686907020872,6841.0,57.302148808653705
108,Marion County,2019.0,360421.0,8397.0,42.92259140169108,1345.0,267.9710037174721,7052.0,51.109047078842885
109,Martin County,2019.0,158598.0,2300.0,68.95565217391304,304.0,521.703947368421,1996.0,79.45791583166333
110,Monroe County,2019.0,76212.0,1704.0,44.725352112676056,248.0,307.30645161290323,1456.0,52.34340659340659
111,Nassau County,2019.0,85070.0,1270.0,66.98425196850394,195.0,436.2564102564103,1075.0,79.13488372093023
112,Okaloosa County,2019.0,201514.0,4495.0,44.830700778642935,679.0,296.780559646539,3816.0,52.80765199161426
113,Okeechobee County,2019.0,41808.0,1175.0,35.58127659574468,164.0,254.9268292682927,1011.0,41.353115727002965
114,Orange County,2019.0,1386080.0,48850.0,28.374206755373592,5989.0,231.43763566538652,42861.0,32.33895616061221
115,Osecola County,2019.0,370552.0,8198.0,45.20029275433033,1007.0,367.9761668321748,7191.0,51.52996801557502
116,Palm Beach County,2019.0,1447857.0,37571.0,38.53655745122568,4319.0,335.22968279694373,33252.0,43.54195236376759
117,Pasco County,2019.0,527122.0,9567.0,55.09794083829832,1400.0,376.5157142857143,8167.0,64.54291661564834
118,Pinellas County,2019.0,978045.0,26305.0,37.1809541912184,2759.0,354.4925697716564,23546.0,41.53762847192729
119,Polk County,2019.0,690606.0,13787.0,50.09110031188801,1690.0,408.6426035502959,12097.0,57.08903033810036
120,Putnam County,2019.0,73268.0,1535.0,47.73159609120521,164.0,446.7560975609756,1371.0,53.44128373450037
121,St. Johns County,2019.0,254412.0,3022.0,84.18663136995367,346.0,735.2947976878613,2676.0,95.07174887892376
122,St. Lucie County,2019.0,309359.0,5045.0,61.3199207135778,663.0,466.60482654600304,4382.0,70.59767229575536
123,Santa Rosa County,2019.0,179054.0,1885.0,94.98885941644562,242.0,739.8925619834711,1643.0,108.97991479001826
124,Sarasota County,2019.0,421685.0,8267.0,51.008225474779245,782.0,539.2391304347826,7485.0,56.3373413493654
125,Seminole County,2019.0,471735.0,9472.0,49.80310388513514,1070.0,440.8738317757009,8402.0,56.14556058081409
126,Sumter County,2019.0,128633.0,1388.0,92.6750720461095,229.0,561.7161572052402,1159.0,110.98619499568592
127,Suwannee County,2019.0,45423.0,804.0,56.49626865671642,202.0,224.86633663366337,602.0,75.45348837209302
130,Volusia County,2019.0,538703.0,12729.0,42.320920732186345,1634.0,329.68359853121177,11095.0,48.55367282559712
132,Walton County,2019.0,70071.0,1086.0,64.52209944751381,139.0,504.1079136690648,947.0,73.99260823653643
134,Alachua County,2018.0,263291.0,9758.0,26.98206599713056,1474.0,178.623473541384,8284.0,31.783075808788023
135,Baker County,2018.0,27652.0,383.0,72.19843342036553,88.0,314.22727272727275,295.0,93.73559322033898
136,Bay County,2018.0,181199.0,6734.0,26.908078408078406,662.0,273.714501510574,6072.0,29.8417325428195
137,Bradford County,2018.0,28475.0,486.0,58.59053497942387,86.0,331.1046511627907,400.0,71.1875
138,Brevard County,2018.0,583563.0,14970.0,38.98216432865731,1880.0,310.4058510638298,13090.0,44.58082505729565
139,Broward County,2018.0,1897976.0,58658.0,32.35664359507655,4988.0,380.5084202085004,53670.0,35.36381591205515
141,Charlotte County,2018.0,177987.0,2454.0,72.52933985330074,342.0,520.4298245614035,2112.0,84.27414772727273
142,Citrus County,2018.0,145721.0,2449.0,59.50224581461821,303.0,480.927392739274,2146.0,67.90354147250699
143,Clay County,2018.0,212034.0,4113.0,51.55215171407732,535.0,396.3252336448598,3578.0,59.26048071548351
144,Collier County,2018.0,367347.0,5141.0,71.45438630616611,772.0,475.8380829015544,4369.0,84.0803387502861
145,Columbia County,2018.0,69721.0,2107.0,33.09017560512577,302.0,230.864238410596,1805.0,38.626592797783935
146,Miami-Dade County,2018.0,2779322.0,100541.0,27.64366775743229,10079.0,275.7537454112511,90462.0,30.72364086577789
148,Dixie County,2018.0,16489.0,278.0,59.31294964028777,74.0,222.82432432432432,204.0,80.82843137254902
149,Duval County,2018.0,952861.0,37621.0,25.32790196964461,4243.0,224.5724723073297,33378.0,28.547576247827912
150,Escambia County,2018.0,318560.0,11361.0,28.0397852301734,1417.0,224.81298517995765,9944.0,32.0353982300885
151,Flagler County,2018.0,107571.0,1662.0,64.72382671480145,229.0,469.7423580786026,1433.0,75.06699232379623
152,Franklin County,2018.0,12009.0,288.0,41.69791666666666,56.0,214.44642857142856,232.0,51.76293103448276
153,Gadsden County,2018.0,47828.0,850.0,56.268235294117645,190.0,251.7263157894737,660.0,72.46666666666667
154,Gilchrist County,2018.0,17424.0,167.0,104.33532934131736,26.0,670.1538461538462,141.0,123.5744680851064
157,Hamilton County,2018.0,14621.0,347.0,42.13544668587896,43.0,340.0232558139535,304.0,48.0953947368421
158,Hardee County,2018.0,27296.0,596.0,45.79865771812081,60.0,454.9333333333333,536.0,50.92537313432836
159,Hendry County,2018.0,39586.0,1038.0,38.13680154142582,157.0,252.14012738853503,881.0,44.93303064699205
160,Hernando County,2018.0,185604.0,3331.0,55.72020414290003,418.0,444.0287081339713,2913.0,63.71575695159629
161,Highlands County,2018.0,102525.0,2708.0,37.86004431314623,275.0,372.8181818181818,2433.0,42.13933415536375
162,Hillsborough County,2018.0,1408864.0,25224.0,55.85410719949255,3148.0,447.5425667090216,22076.0,63.81880775502808
164,Indian River County,2018.0,151825.0,2735.0,55.51188299817185,287.0,529.006968641115,2448.0,62.02001633986928
165,Jackson County,2018.0,50435.0,1098.0,45.93351548269581,171.0,294.94152046783626,927.0,54.4066882416397
166,Jefferson County,2018.0,14733.0,355.0,41.50140845070423,80.0,184.1625,275.0,53.57454545454546
168,Lake County,2018.0,342917.0,7789.0,44.02580562331493,872.0,393.2534403669725,6917.0,49.575972242301575
169,Lee County,2018.0,713903.0,12929.0,55.21718617062418,1672.0,426.9754784688995,11257.0,63.41858399218264
170,Leon County,2018.0,292332.0,13026.0,22.44219253800092,1438.0,203.29068150208624,11588.0,25.22713151536072
171,Levy County,2018.0,41054.0,1386.0,29.62049062049062,488.0,84.12704918032787,898.0,45.71714922048998
174,Manatee County,2018.0,382388.0,9117.0,41.94230558297686,1519.0,251.7366688610928,7598.0,50.32745459331403
175,Marion County,2018.0,353898.0,8903.0,39.75042120633494,1276.0,277.34952978056424,7627.0,46.40068178838337
176,Martin County,2018.0,155556.0,2534.0,61.38752959747435,321.0,484.5981308411215,2213.0,70.29191143244465
177,Monroe County,2018.0,73940.0,1925.0,38.41038961038961,241.0,306.80497925311204,1684.0,43.90736342042755
178,Nassau County,2018.0,82748.0,1486.0,55.68506056527591,194.0,426.5360824742268,1292.0,64.04643962848297
179,Okaloosa County,2018.0,198152.0,5028.0,39.40970564836913,659.0,300.6858877086495,4369.0,45.35408560311284
