County,Average Population,Murder,Forcible Sex Offenses,Robbery,Aggravated Assault,Burglary,Larceny,Motor Vehicle Theft,Total Index Crimes,Total Violent Crimes,Total Property Crimes
Alachua County,239397,300,6499,12067,43131,85041,248831,25100,420969,49930,371039
Baker County,24771,33,207,292,2483,3312,8686,916,15929,2723,13206
Bay County,163000,268,3102,4413,21039,47698,166553,12245,255318,24409,230909
Bradford County,27597,35,381,415,3556,6618,14365,1464,26834,3972,22862
Brevard County,528842,649,8979,15989,70789,134764,398802,36055,666027,80417,585610
Broward County,1697586,2676,20664,106720,172988,477487,1555394,255878,2591807,196328,2395479
Calhoun County,14037,22,40,41,665,1095,2249,233,4345,727,3618
Charlotte County,155883,98,969,1604,9552,27301,78647,6214,124385,10619,113766
Citrus County,131016,111,1174,1093,9093,21766,53258,4486,90981,10378,80603
Clay County,169519,148,2661,2566,14848,25016,95409,7415,148063,17657,130406
Collier County,290767,302,3476,6634,24831,52584,147227,13343,248397,28609,219788
Columbia County,62198,111,1076,1597,10469,20205,47720,3839,85017,11656,73361
DeSoto County,32808,68,479,1013,5461,10850,18331,1756,37958,6008,31950
Dixie County,15134,33,351,145,1923,5976,6951,633,16012,2307,13705
Duval County,858678,3222,19986,72035,143676,322998,933491,133716,1629124,166884,1462240
Escambia County,309662,601,6808,16022,50363,100402,273313,23839,471348,57772,413576
Flagler County,74513,57,562,845,5003,11220,33446,2493,53626,5622,48004
Franklin County,11467,18,138,60,1045,1884,5604,428,9177,1201,7976
Gadsden County,48828,130,682,1578,8222,14136,22648,2627,50023,9034,40989
Gilchrist County,15454,17,82,74,1029,2446,3491,441,7580,1128,6452
Glades County,11247,15,99,139,1084,2594,5022,611,9564,1198,8366
Gulf County,15492,13,140,127,1837,2219,4533,349,9218,1990,7228
Hamilton County,14272,29,137,233,1430,3199,5195,611,10834,1596,9238
Hardee County,26682,41,348,583,2648,8891,15285,1999,29795,3037,26758
Hendry County,36705,123,465,1580,5669,15336,20002,3438,46613,6257,40356
Hernando County,153243,142,2326,2106,15713,35642,93840,6976,156745,18181,138564
Highlands County,93560,156,1048,2302,8629,30992,58940,5434,107501,9833,97668
Hillsborough County,1158729,2135,17515,76842,183496,343951,989360,207856,1821155,203146,1618009
Holmes County,19479,19,195,61,1341,2447,3348,569,7980,1555,6425
Indian River County,129570,123,1455,2333,10099,30296,87743,6339,138388,11677,126711
Jackson County,50194,71,560,563,5614,8230,18684,1500,35222,6245,28977
Jefferson County,14426,26,228,382,3016,3183,4606,589,12030,3270,8760
Lafayette County,7818,6,31,45,432,418,576,54,1562,469,1093
Lake County,262192,280,3482,4524,29715,60465,136907,14696,250069,33477,216592
Lee County,551021,970,7239,20917,46192,134267,324121,55703,589409,54401,535008
Leon County,263662,413,6760,17044,47348,108231,286554,32480,498830,54521,444309
Levy County,37429,39,758,430,7260,11708,19914,1976,42085,8057,34028
Liberty County,7892,3,48,25,280,469,780,136,1741,331,1410
Madison County,19646,38,241,367,3464,5254,11025,511,20900,3743,17157
Manatee County,309409,500,5330,14546,51452,96928,258329,25840,452925,57282,395643
Marion County,299288,505,5842,8486,41954,76962,185417,16494,335660,48301,287359
Martin County,138298,125,1416,3269,9713,26813,85590,5477,132403,11254,121149
Miami-Dade County,2441666,7515,35984,290333,454606,860498,2957731,636760,5243427,498105,4745322
Monroe County,81805,102,1362,2918,11192,27190,95031,9496,147291,12656,134635
Nassau County,67107,75,700,783,10548,14151,29393,3406,59056,11323,47733
Okaloosa County,187081,167,2156,3161,14808,32569,111723,8551,173135,17131,156004
Okeechobee County,38435,68,763,779,5552,11757,24582,2275,45776,6383,39393
Orange County,1055957,2283,21221,78763,187479,385189,1088376,166576,1929887,210983,1718904
Osecola County,236721,292,3187,7133,28224,83779,173907,16470,312992,31703,281289
Palm Beach County,1235964,2393,17337,73756,156556,401958,1169389,175041,1996430,176286,1820144
Pasco County,413282,428,5360,7875,33507,101313,255494,25832,429809,39295,390514
Pinellas County,951740,1294,17643,51541,140567,272115,885617,97415,1466192,159504,1306688
Polk County,561797,849,7795,20342,59812,195693,460018,63211,807720,68456,739264
Putnam County,74140,164,1923,2771,16446,36696,62849,5520,126369,18533,107836
Santa Rosa County,143939,106,1873,1349,8877,24707,58200,5323,100435,10856,89579
Sarasota County,356514,325,3451,9653,28533,87760,268757,18780,417259,32309,384950
Seminole County,400287,413,4811,11248,34952,85149,252421,29062,418056,40176,377880
St. Johns County,163302,160,913,2140,14243,26527,87703,6303,137989,15316,122673
St. Lucie County,245538,463,3196,8548,27282,67273,155971,16209,278942,30941,248001
Sumter County,79416,72,781,716,5959,10272,20558,2446,40804,6812,33992
Suwannee County,38965,52,398,718,4311,9192,16350,1634,32655,4761,27894
Taylor County,21552,49,415,403,5249,6676,10085,949,23826,5713,18113
Union County,14736,20,90,89,1000,1463,1724,507,4893,1110,3783
Volusia County,483236,654,6933,18176,58626,143494,372656,45802,646341,66213,580128
Wakulla County,26287,26,406,180,2150,4733,10345,1104,18944,2582,16362
Walton County,51029,50,381,300,4250,9352,21579,1939,37851,4681,33170
Washington County,23057,33,89,102,1046,2464,5154,663,9551,1168,8383
