County,Population,Murder,Forcible Sex Offenses,Robbery,Aggravated Assault,Burglary,Larceny,Motor Vehicle Theft,Total Index Crimes,% Index change,"Index Rate per 100,000",Rate Change,Year
Alachua County,271588,16,236,350,1423,853,5121,715,8714,-3.285238624,3208.53646,-4.810094686,2020
Baker County,28532,2,11,3,116,33,212,29,406,2.525252525,1422.96369,1.508336555,2020
Bay County,174410,11,93,67,672,771,3451,381,5446,-16.63860401,3122.527378,-20.04504096,2020
Bradford County,28725,2,8,13,75,41,203,29,371,-33.15315315,1291.557876,-33.2532198,2020
Brevard County,606671,30,225,298,1735,1629,8161,872,12950,-10.64651901,2134.600137,-12.44368943,2020
Broward County,1932212,149,592,1703,4578,4373,30673,4977,47045,-17.96575295,2434.774238,-18.49934161,2020
Calhoun County,14489,3,1,2,30,27,81,15,159,6,1097.384223,2.912692387,2020
Charlotte County,187904,1,32,21,238,221,1302,128,1943,-21.68480451,1034.038658,-24.24135152,2020
Citrus County,149383,7,25,38,335,334,1403,191,2333,-3.912685338,1561.757362,-4.96693588,2020
Clay County,219575,6,99,80,383,351,2197,206,3322,-12.78550801,1512.922692,-14.50497305,2020
Collier County,387450,6,68,122,680,416,3039,351,4682,-10.03074558,1208.413989,-12.52559568,2020
Columbia County,70617,4,26,48,291,436,957,87,1849,-9.005905512,2618.349689,-9.166975252,2020
Miami-Dade County,2832794,231,781,2762,9703,6560,53492,7477,81006,-18.30860923,2859.579624,-18.90451239,2020
DeSoto County,37082,3,22,13,148,170,336,44,736,-5.276705277,1984.790464,-7.874558433,2020
Dixie County,16663,1,10,4,77,86,63,21,262,10.08403361,1572.345916,9.733889355,2020
Duval County,982080,143,477,961,5074,4021,20655,3121,34452,-8.639618138,3508.064516,-9.700875099,2020
Escambia County,323714,32,225,376,1306,1588,6039,732,10298,-6.202750706,3181.203161,-6.950314615,2020
Flagler County,114235,0,32,10,210,99,725,63,1139,-17.40391588,997.0674487,-19.96346539,2020
Franklin County,11864,0,3,0,29,44,160,7,243,-10,2048.213082,-6.89733648,2020
Gadsden County,46226,4,11,8,97,142,174,62,498,-47.13375796,1077.315796,-47.07543195,2020
Gilchrist County,18269,0,2,0,24,34,52,9,121,-39.1959799,662.3241557,-40.87009573,2020
Glades County,13609,0,2,2,29,17,64,14,128,-14.09395973,940.5540451,-17.17443204,2020
Gulf County,14724,0,8,0,63,55,111,11,248,6.896551724,1684.324912,-5.024403039,2020
Hamilton County,14570,2,3,6,53,81,160,19,324,3.846153846,2223.747426,4.059975714,2020
Hardee County,27443,1,6,8,79,152,273,55,574,2.5,2091.60806,2.283369165,2020
Hendry County,40953,6,6,25,115,276,365,76,869,-12.48741188,2121.944668,-14.26745207,2020
Hernando County,192186,7,58,53,369,365,1764,169,2785,-10.36369488,1449.117001,-12.14908912,2020
Highlands County,104834,8,29,39,220,333,1405,151,2185,-16.63487219,2084.247477,-17.74816729,2020
Hillsborough County,1478759,81,363,650,3201,2332,12348,1730,20705,-12.2706665,1400.16054,-14.28117624,2020
