County,Average Population,Murder,Forcible Sex Offenses,Robbery,Aggravated Assault,Burglary,Larceny,Motor Vehicle Theft,Total Index Crimes,Total Violent Crimes,Total Property Crimes
Allegany County,76235,53,636,1004,7088,14665,50109,2175,8781,66949,75730
Anne Arundel County,525965,513,3620,20443,54576,92606,376912,41407,79152,510925,590077
Baltimore City,679782,8899,11535,194512,209994,313964,822257,215880,424940,1352101,1777041
Baltimore County,800368,971,7220,53795,116294,164945,628489,99601,178280,893035,1071315
Calvert County,81447,48,379,584,5498,9746,30597,2124,6509,42467,48976
Caroline County,32113,31,287,454,2955,6857,16071,1302,3727,24230,27957
Carroll County,161309,60,966,1379,7140,17217,61023,3904,9545,82144,91689
Cecil County,94621,94,636,2181,10777,21403,55956,5680,13688,83039,96727
Charles County,137877,182,1026,4482,15039,20316,85845,10789,20729,116950,137679
Dorchester County,32480,53,329,930,4479,7937,23910,1688,5791,33535,39326
Frederick County,217467,129,1283,3965,17554,21484,91921,6198,22931,119603,142534
Garrett County,30604,19,174,74,1655,4411,10397,682,1922,15490,17412
Harford County,236195,170,1481,4947,14252,29962,102725,9116,20850,141803,162653
Howard County,271964,153,1314,6203,10677,36708,159895,17829,18347,214432,232779
Kent County,20082,10,126,315,1488,3569,6655,487,1939,10711,12650
Montgomery County,951597,611,6079,27621,29811,108402,554944,71087,64122,734433,798555
Prince George's County,859247,3318,8991,97279,97286,221153,719771,279793,206874,1220717,1427591
Queen Anne's County,44962,26,237,358,2837,6389,18070,1221,3458,25680,29138
Somerset County,26091,42,285,468,2616,5849,12495,742,3411,19086,22497
St. Mary's County,99134,81,665,1399,7388,16330,46627,2974,9533,65931,75464
Talbot County,36147,36,302,654,2565,5958,20218,938,3557,27114,30671
Washington County,143643,138,833,3278,10046,21512,64068,6738,14295,92318,106613
Wicomico County,93024,148,1150,4888,15164,27434,80802,5346,21350,113582,134932
Worcester County,47991,52,556,1261,6689,12384,54244,2436,8558,69064,77622
