County-Year,Population,Index Count,Index Rate,Violent Count,Violent Rate,Property Count,Property Rate,State,Cluster,Violent %,Property %
Albany-1990.0,292594.0,14418.0,4927.6,1524.0,520.9,12894.0,4406.8,NY,1,10.570120682480233,89.42987931751976
Albany-1991.0,294030.0,15464.0,5259.3,1674.0,569.3,13790.0,4690.0,NY,1,10.825142265907916,89.17485773409209
Albany-1992.0,295018.0,16249.0,5507.8,1588.0,538.3,14661.0,4969.5,NY,1,9.772909102098591,90.2270908979014
Albany-1993.0,294302.0,15139.0,5144.0,1669.0,567.1,13470.0,4576.9,NY,1,11.02450624215602,88.97549375784398
Albany-1994.0,293843.0,16724.0,5691.5,1771.0,602.7,14953.0,5088.8,NY,1,10.589571872757714,89.4104281272423
Albany-1995.0,290756.0,16699.0,5743.3,1606.0,552.4,15093.0,5191.0,NY,1,9.61734235582969,90.38265764417031
Albany-1996.0,291536.0,13676.0,4691.0,1408.0,483.0,12268.0,4208.1,NY,1,10.295408014039193,89.7045919859608
Albany-1997.0,290760.0,14542.0,5001.4,1450.0,498.7,13092.0,4502.7,NY,1,9.971118140558383,90.02888185944163
Albany-1998.0,294930.0,13733.0,4656.4,1310.0,444.2,12423.0,4212.2,NY,1,9.53906648219617,90.46093351780384
Albany-1999.0,292929.0,14145.0,4828.8,1133.0,386.8,13012.0,4442.0,NY,1,8.00989749027925,91.99010250972076
Albany-2000.0,304521.0,14096.0,4628.9,1353.0,444.3,12743.0,4184.6,NY,1,9.598467650397275,90.40153234960272
Albany-2001.0,295107.0,13733.0,4653.6,1649.0,558.8,12084.0,4094.8,NY,1,12.007572999344644,87.99242700065535
Albany-2002.0,297376.0,12784.0,4298.9,1706.0,573.7,11078.0,3725.3,NY,1,13.344806007509385,86.65519399249061
Albany-2003.0,296677.0,11977.0,4037.1,1402.0,472.6,10575.0,3564.5,NY,1,11.705769391333389,88.29423060866661
Albany-2004.0,298419.0,12710.0,4259.1,1431.0,479.5,11279.0,3779.6,NY,1,11.258851298190402,88.7411487018096
Albany-2005.0,298859.0,12119.0,4055.1,1615.0,540.4,10504.0,3514.7,NY,1,13.32618202822015,86.67381797177985
Albany-2006.0,298210.0,11935.0,4002.2,1545.0,518.1,10390.0,3484.1,NY,1,12.945119396732299,87.0548806032677
Albany-2007.0,297154.0,10584.0,3561.8,1468.0,494.0,9116.0,3067.8,NY,1,13.869992441421013,86.130007558579
Albany-2008.0,299789.0,10750.0,3585.9,1356.0,452.3,9394.0,3133.5,NY,1,12.613953488372093,87.3860465116279
Albany-2009.0,298400.0,10613.0,3556.6,1289.0,432.0,9324.0,3124.7,NY,1,12.145481956091587,87.85451804390841
Albany-2010.0,295267.0,11036.0,3737.6,1182.0,400.3,9854.0,3337.3,NY,1,10.710402319681043,89.28959768031895
Albany-2011.0,305571.0,10727.0,3510.5,1166.0,381.6,9561.0,3128.9,NY,1,10.86976787545446,89.13023212454554
Albany-2012.0,305204.0,9974.0,3268.0,1011.0,331.3,8963.0,2936.7,NY,1,10.136354521756568,89.86364547824344
Albany-2013.0,306300.0,9457.0,3087.5,1006.0,328.4,8451.0,2759.1,NY,1,10.637622924817595,89.36237707518241
Albany-2014.0,308166.0,9186.0,2980.9,1003.0,325.5,8183.0,2655.4,NY,1,10.918789462225126,89.08121053777488
Albany-2015.0,308613.0,8644.0,2800.9,1041.0,337.3,7603.0,2463.6,NY,1,12.043035631652014,87.956964368348
Albany-2016.0,308401.0,8766.0,2842.4,1099.0,356.4,7667.0,2486.0,NY,1,12.537075062742414,87.4629249372576
Albany-2017.0,310352.0,8787.0,2831.3,1162.0,374.4,7625.0,2456.9,NY,1,13.224081028792533,86.77591897120746
Albany-2018.0,304591.0,8340.0,2738.1,1099.0,360.8,7241.0,2377.3,NY,1,13.177458033573142,86.82254196642685
Albany-2019.0,305810.0,8005.0,2617.6,1003.0,328.0,7002.0,2289.7,NY,1,12.529668956901938,87.47033104309806
Albany-2020.0,303723.0,7450.0,2452.9,1127.0,371.1,6323.0,2081.8,NY,1,15.12751677852349,84.87248322147651
Allegany-1990.0,50470.0,1280.0,2536.2,146.0,289.3,1134.0,2246.9,NY,1,11.40625,88.59375
Allegany-1991.0,50654.0,1417.0,2797.4,134.0,264.5,1283.0,2532.9,NY,1,9.456598447424136,90.54340155257586
